textDisplay,label_manual,cleaned_text
Tumben narasi nya ngk yambung,0,Tumben narasi nya ngk yambung
"jadi solusinya apa? yang saya tahu eropa sama amerika hutan hujannya sudah abis karena mereka sendiri. amerika dan brazil juga ada kesepakatan dimana hutang brazil diubah jadi investasi untuk mempertahankan hutan di brazil yang dibutuhkan karena &quot;paru-paru&quot; dunia, nah indonesia harusnya juga bisa pakai keuntungan ini, kita punya hutannya, amerika dan eropa butuh hutan itu karena dampak iklimnya kerasa sekali ke mereka, tinggal pintar-pintarnya pemerintah aja. misal nih, amerika dan eropa harus ngasih setoran besar untuk indonesia, karena kan hutan kita salah satu paru-paru dunia. ini tulisan asal aja, pernah baca soalnya tapi lupa dimana, semoga ada solusi untuk semua ini, karena bingung juga, ekonomi indonesia lagi berkembang",0,jadi solusinya apa yang saya tahu eropa sama amerika hutan hujannya sudah abis karena mereka sendiri amerika dan brazil juga ada kesepakatan dimana hutang brazil diubah jadi investasi untuk mempertahankan hutan di brazil yang dibutuhkan karena quotparuparuquot dunia nah indonesia harusnya juga bisa pakai keuntungan ini kita punya hutannya amerika dan eropa butuh hutan itu karena dampak iklimnya kerasa sekali ke mereka tinggal pintarpintarnya pemerintah aja misal nih amerika dan eropa harus ngasih setoran besar untuk indonesia karena kan hutan kita salah satu paruparu dunia ini tulisan asal aja pernah baca soalnya tapi lupa dimana semoga ada solusi untuk semua ini karena bingung juga ekonomi indonesia lagi berkembang
"sudah bang, negara2 maju sudah ngasih dana &quot;hibah&quot; ke indonesia buat konservasi. ada, cari aja. tp ya tinggal eksekusinya aja buat apa aja dananya.",1,sudah bang negara maju sudah ngasih dana quothibahquot ke indonesia buat konservasi ada cari aja tp ya tinggal eksekusinya aja buat apa aja dananya
"habis dari mana, org rainforest amerika dkk masih ada",1,habis dari mana org rainforest amerika dkk masih ada
"Hidup IKN biar dunia nga bisa napas yak eh Indonesia bagian dari dunia 😂😂, pinter banget presiden Indonesia joss gandoz pandangan masa depannya hehe",0,Hidup IKN biar dunia nga bisa napas yak eh Indonesia bagian dari dunia pinter banget presiden Indonesia joss gandoz pandangan masa depannya hehe
Penjajahan versi politik menggunakan orang dalam..<br>Pejabatnya korup.rakyatnya dibunuh&amp;disengsarakan..,0,Penjajahan versi politik menggunakan orang dalamPejabatnya koruprakyatnya dibunuhdisengsarakan
GANTI PRESIDEN 2024...,1,GANTI PRESIDEN
Ya kn emg ada pemilu kwkw,1,Ya kn emg ada pemilu kwkw
"Penyebaran penduduk tdk merata...,kalau hutan diluar jawa tdk blh dibuka maka ekonomi hanya berputar di jawa. Kpn terjadi pemerataan ekonomi dan keadilan pembangunan?",1,Penyebaran penduduk tdk meratakalau hutan diluar jawa tdk blh dibuka maka ekonomi hanya berputar di jawa Kpn terjadi pemerataan ekonomi dan keadilan pembangunan
"Saya warga berau sangat setuju bahwa pembukaan lahan sawit di sini sangat pesat, dan itu berdampak sekali dari iklim beberapa tahun terakhir yang semakin memanas",0,Saya warga berau sangat setuju bahwa pembukaan lahan sawit di sini sangat pesat dan itu berdampak sekali dari iklim beberapa tahun terakhir yang semakin memanas
Tidak belajar dri jakarta.trus Kalimantan mau di jadikan jakarta ke dua. Abis itu mana lagi,1,Tidak belajar dri jakartatrus Kalimantan mau di jadikan jakarta ke dua Abis itu mana lagi
"bagus, dong jd pusat ekonomi kan maksudnya",2,bagus dong jd pusat ekonomi kan maksudnya
"Kalimantan itu hancur krn pembukaan lahan besar²an untuk korporasi perkebunan sawit, wilayah² hulu yg dlnya hutan penyangga berubah jd ladang sawit jd gak heran sjk marak sawit banjir pun jg makin sering melanda kalimantan",0,Kalimantan itu hancur krn pembukaan lahan besaran untuk korporasi perkebunan sawit wilayah hulu yg dlnya hutan penyangga berubah jd ladang sawit jd gak heran sjk marak sawit banjir pun jg makin sering melanda kalimantan
"SJW, sok jadi warrior,<br><br>kenapa terjadi penebangan hutan, inilah bebebarap alasanya :<br>1. pohon di olah jadi kertas, mebel , bahan bangunan<br>2. tanah di olah jadi batu bata, gerabah, genteng<br>3. di bawah tanah ada mineral, batu bara dan batu mulia<br>4. terjadi urbanisasi / pembebasan lahan perkebunan<br><br>jadi jika memang tidak ingin hutan di tebang hiduplah telanjang seperti zaman purba yg tidak perlu membuat rumah dari pohon dan tanah, menaiki kendaraan bermotor yg berasal dari besi dan migas yg ada di dalam tanah, dan hiduplah dengan child free agar tidak terjadi urbanisasi supaya penduduk tetap sedikit tidak seperti sekarang yg di dalam data statistik luas pulau jawa sekitar 120 jt km² sedangkan penduduknya sekitar 145 jt jiwa yg hidup di pulau jawa, yg menyebabkan urbanisasi dan perluasan wilayah pemukiman ke kalimantan",0,SJW sok jadi warriorkenapa terjadi penebangan hutan inilah bebebarap alasanya pohon di olah jadi kertas mebel bahan bangunan tanah di olah jadi batu bata gerabah genteng di bawah tanah ada mineral batu bara dan batu mulia terjadi urbanisasi pembebasan lahan perkebunanjadi jika memang tidak ingin hutan di tebang hiduplah telanjang seperti zaman purba yg tidak perlu membuat rumah dari pohon dan tanah menaiki kendaraan bermotor yg berasal dari besi dan migas yg ada di dalam tanah dan hiduplah dengan child free agar tidak terjadi urbanisasi supaya penduduk tetap sedikit tidak seperti sekarang yg di dalam data statistik luas pulau jawa sekitar jt km sedangkan penduduknya sekitar jt jiwa yg hidup di pulau jawa yg menyebabkan urbanisasi dan perluasan wilayah pemukiman ke kalimantan
"Masalahnya wilayah tropis gini dijadiin tumbal.<br><br>Mereka di barat hingar bingar kota ga pernah mati 24 jam, penggunaan pelastik pun juga sama, asia kena salah, tapi kalau lo liat di luar orang2 belanja masih banyak yang pake pelastik, botol kaleng2 pun setiap harinya banyak dibuang.<br><br>Kalau asia dan afrika, ga bisa bergantungan hidup dari sumber daya alamnya, trus darimana? Apa mau pihak eropa yang urus campur dengan embel2 eco friendly mining?",0,Masalahnya wilayah tropis gini dijadiin tumbalMereka di barat hingar bingar kota ga pernah mati jam penggunaan pelastik pun juga sama asia kena salah tapi kalau lo liat di luar orang belanja masih banyak yang pake pelastik botol kaleng pun setiap harinya banyak dibuangKalau asia dan afrika ga bisa bergantungan hidup dari sumber daya alamnya trus darimana Apa mau pihak eropa yang urus campur dengan embel eco friendly mining
"@@xandxtorm5526 yg namanya mining itu pengerukan, dalam bentuk apapun, eco frendly itu frendlinya ke kita apa ke mereka??",0,xandxtorm yg namanya mining itu pengerukan dalam bentuk apapun eco frendly itu frendlinya ke kita apa ke mereka
Mereka orang2 barat itu selalu pake double standard kalo ma negara2 Asia macam kita. Padahal mereka dah lebih dulu gundulin hutan2 mereka.,0,Mereka orang barat itu selalu pake double standard kalo ma negara Asia macam kita Padahal mereka dah lebih dulu gundulin hutan mereka
"Percuma sii. Orang yang nanam Sawit dan yg punya tambang aja ngsk Tidur di Kalimantan mereka ngak bakal perduli. lalu mengharapkan pemerintah, Yakin lu???? <br>Yg bisa dilakukan adalah masyarakat harus bersatu dan melawan. Karna yang akan menerima dampak buruknya hanya masyarakat. Justru kalu kita diam saja mereka bakal senang mengeruk hasil dari bumi Kalimantan ini.",1,Percuma sii Orang yang nanam Sawit dan yg punya tambang aja ngsk Tidur di Kalimantan mereka ngak bakal perduli lalu mengharapkan pemerintah Yakin lu Yg bisa dilakukan adalah masyarakat harus bersatu dan melawan Karna yang akan menerima dampak buruknya hanya masyarakat Justru kalu kita diam saja mereka bakal senang mengeruk hasil dari bumi Kalimantan ini
Menteri lingkungan adem ayem,1,Menteri lingkungan adem ayem
"Sedih sebenarnya lihat Kalimantan. Dari dulu sampai sekarang habis dieksploitasi. Jangan harapin pemerintah deh, masyarakat lokal harusnya yang berusaha melindungi lingkungan nya sendiri. Manusia rakus dari pulau Jawa yang terus menerus meng-eksploitasi kekayaan alam Indonesia. Lahan lama Kalimantan, lahan baru yang segera berakhir seperti Kalimantan, adalah Tanah Papua.",0,Sedih sebenarnya lihat Kalimantan Dari dulu sampai sekarang habis dieksploitasi Jangan harapin pemerintah deh masyarakat lokal harusnya yang berusaha melindungi lingkungan nya sendiri Manusia rakus dari pulau Jawa yang terus menerus mengeksploitasi kekayaan alam Indonesia Lahan lama Kalimantan lahan baru yang segera berakhir seperti Kalimantan adalah Tanah Papua
Kompak lah semua warga kalimantan. Pertahankan hutan kalian demi masa depan anak cucu kalian,0,Kompak lah semua warga kalimantan Pertahankan hutan kalian demi masa depan anak cucu kalian
Memang cuaca skrg makin extrem. Klo alam sudah rusak manusia juga akan punah.,0,Memang cuaca skrg makin extrem Klo alam sudah rusak manusia juga akan punah
Pembangunan di kalimantan itu hanya kiasa politik semua bermain petak kumpet <br>secara logika ngapain bangun ibu kota di tengah hutan kenapa tidak membuat jalur rel kereta api saja <br>ehh lupa kalau ada jalur kereta api nanti keliatan hutan yang gundul2 dari jendela kereta wkkw,0,Pembangunan di kalimantan itu hanya kiasa politik semua bermain petak kumpet secara logika ngapain bangun ibu kota di tengah hutan kenapa tidak membuat jalur rel kereta api saja ehh lupa kalau ada jalur kereta api nanti keliatan hutan yang gundul dari jendela kereta wkkw
"Tlg bahas BUMN kita sektor terkait hutan&amp;pemanfaatan yakni kertas. Kita pny pabrik kertas bhkn dlu sempat menjdi macan asia krn ekspor hingga timurtengah. Smua sblm&amp;msh kecilnya kompetisi oleh swasta. Sbg conto Era kcil masa skolah dlu beli buku tulis merk letjes/leces. Hebatnya dr smua anak kota&amp;bhkan diujung gunung bs beli krn terjangkau. Next muncul SiDu swasta yg diklaim lbh bgus ttpi hrg terpaut jauh lbh dr produksi bumn kita. Bkn benah dlm kompetisi malah muncul isue disuntik mati baik dr pihak dlm/luar. Hingga pd akhirnya monopoli trjdi hingga pasca kematian leces. Data terkait kbutuhan kertas domestik serupa kbutuhan pokok. Hal yg paling mencolok adlh dlm penggunaan rokok. Slmtkan bumn kita dr tangan2 culas krn sjatinya bumn kontrol ekonomi kita. Bangkitkan kembali pt kertas kita! Andai bulog tdk sangkut hajat hidup org byk, hari ini kita pun dpt lihat runtuhnya tembok2 bangunan itu.",1,Tlg bahas BUMN kita sektor terkait hutanamppemanfaatan yakni kertas Kita pny pabrik kertas bhkn dlu sempat menjdi macan asia krn ekspor hingga timurtengah Smua sblmampmsh kecilnya kompetisi oleh swasta Sbg conto Era kcil masa skolah dlu beli buku tulis merk letjesleces Hebatnya dr smua anak kotaampbhkan diujung gunung bs beli krn terjangkau Next muncul SiDu swasta yg diklaim lbh bgus ttpi hrg terpaut jauh lbh dr produksi bumn kita Bkn benah dlm kompetisi malah muncul isue disuntik mati baik dr pihak dlmluar Hingga pd akhirnya monopoli trjdi hingga pasca kematian leces Data terkait kbutuhan kertas domestik serupa kbutuhan pokok Hal yg paling mencolok adlh dlm penggunaan rokok Slmtkan bumn kita dr tangan culas krn sjatinya bumn kontrol ekonomi kita Bangkitkan kembali pt kertas kita Andai bulog tdk sangkut hajat hidup org byk hari ini kita pun dpt lihat runtuhnya tembok bangunan itu
merem om percuma,0,merem om percuma
"@@yusrilrzkyy9750 wakil rakyat kita yg terhormat dpr merem gak awasi. kementrian kita merem bagai angin lalu. Pdhl kertas konsumsi harian dr sekolah, kantor, bakery, produsen brg, produsen sparepart, sampai packaging rokok. Sumbang brp Triliun kok malah mati&amp;dimatikan. Skrg dikuasai swasta yg kaya anak turunnya.",0,yusrilrzkyy wakil rakyat kita yg terhormat dpr merem gak awasi kementrian kita merem bagai angin lalu Pdhl kertas konsumsi harian dr sekolah kantor bakery produsen brg produsen sparepart sampai packaging rokok Sumbang brp Triliun kok malah matiampdimatikan Skrg dikuasai swasta yg kaya anak turunnya
"hutan kami di kalimanan habis karena ekploitas mereka yg di pulau jawa sana, pembangunan kami jauh tertinggal sementara hasil alam kami habis dikuras dibawa keluar, save borneo",0,hutan kami di kalimanan habis karena ekploitas mereka yg di pulau jawa sana pembangunan kami jauh tertinggal sementara hasil alam kami habis dikuras dibawa keluar save borneo
Terancam ancurrr... negri Wakanda,0,Terancam ancurrr negri Wakanda
"Yg penting duit, mumpung masih hidup ngumpulin duit, masa depan hacur tak masalah biarkan cucu cicit yg nanggung pasti mereka pintar-pintar mengatasinya<br>Begitulah pikiran manusia serakah<br><br>Gugat secara internasional agar merasa malu negara ini, oh iyaa muka mereka-mereka sudah tebal",0,Yg penting duit mumpung masih hidup ngumpulin duit masa depan hacur tak masalah biarkan cucu cicit yg nanggung pasti mereka pintarpintar mengatasinyaBegitulah pikiran manusia serakahGugat secara internasional agar merasa malu negara ini oh iyaa muka merekamereka sudah tebal
"Nah iya kan trnyata byk yg berpikir sama, waktu pertama kali saya mendengar kalimantan mau dibangun ikn, kepikiran kalimantan ini kan pemasok oksigen dan paru-paru dunia, jika ada ikn dan pembangunan disekelilingnya dan nnt merambah ke seluruh pulau??? 😱<br>Disana juga kan panas ya, pasang ac pasti. Waktu tau disana susah air dan ngebangun tanggul, sebenernya pejabat disana gimana ya ngurusnya? kok gara2 ikn ini malah baru bangun???",0,Nah iya kan trnyata byk yg berpikir sama waktu pertama kali saya mendengar kalimantan mau dibangun ikn kepikiran kalimantan ini kan pemasok oksigen dan paruparu dunia jika ada ikn dan pembangunan disekelilingnya dan nnt merambah ke seluruh pulau Disana juga kan panas ya pasang ac pasti Waktu tau disana susah air dan ngebangun tanggul sebenernya pejabat disana gimana ya ngurusnya kok gara ikn ini malah baru bangun
Negara maju: ayo kita tanam pohon untuk menyalamatkan dunia<br>Negara berflower:<br><br><br><br><br><br><br><br><br>Hehe boi,1,Negara maju ayo kita tanam pohon untuk menyalamatkan duniaNegara berflowerHehe boi
"Jd pilih presiden selanjutnya yg bnr ya! Pilih yg berani lawan oligarki, bukan yg malah jadi bonekanya!",1,Jd pilih presiden selanjutnya yg bnr ya Pilih yg berani lawan oligarki bukan yg malah jadi bonekanya
"Selalu ada trade of antara kepentingan ekonomi dengan kerusakan lingkungan yang di timbulkannya, tinggal di mana pemerintah dapat memberikan solusi jalan tengahnya, agar kepentingan ekonomi terpenuhi tanpa menyebabkan adanya kerusakan lingkungan. Ekploitasi manusia terhadap alam menyebabkan ekploitasi manusia terhadap manusia semua itu terjadi karena keserakahan manusia, keserakahan terjadi karena ketidakmampuan manusia mengendalikan keiingannya. Sesuai apa yg di bilang sama al-quran telah tampak kerusakan didarat dan di laut akibat dari perbuatan tangan manusia; allah menghendaki agar mereka merasakan sebagian dari (akibat) perbuatan mereka, agar mereka kembali kepada jalan yg benar : QS Ar-rum 41",0,Selalu ada trade of antara kepentingan ekonomi dengan kerusakan lingkungan yang di timbulkannya tinggal di mana pemerintah dapat memberikan solusi jalan tengahnya agar kepentingan ekonomi terpenuhi tanpa menyebabkan adanya kerusakan lingkungan Ekploitasi manusia terhadap alam menyebabkan ekploitasi manusia terhadap manusia semua itu terjadi karena keserakahan manusia keserakahan terjadi karena ketidakmampuan manusia mengendalikan keiingannya Sesuai apa yg di bilang sama alquran telah tampak kerusakan didarat dan di laut akibat dari perbuatan tangan manusia allah menghendaki agar mereka merasakan sebagian dari akibat perbuatan mereka agar mereka kembali kepada jalan yg benar QS Arrum
Saya petani sawit nyari makan di sawit...siapa yang menikmati carbon.,0,Saya petani sawit nyari makan di sawitsiapa yang menikmati carbon
"Mungkin benar jika jkw orangnya bersih jujur, tp kebijakan2 nya bak kue yang lezat bagi tikus2 berdasi.",0,Mungkin benar jika jkw orangnya bersih jujur tp kebijakan nya bak kue yang lezat bagi tikus berdasi
Kita lihat saja apa yg akan terjadi setelah ibukota baru sudah berfungsi.,1,Kita lihat saja apa yg akan terjadi setelah ibukota baru sudah berfungsi
"Kebutuhan masyarakat yg sejatinya hanyalah angan2 dan gak merata &#39;apa sih yg masyarakat butuhkan saat ini&#39; yg dikedepankan &#39;pride&#39; semata saja. Lagi dan lagi yg diuntungkan kembali ke lingkaran elit parpol itu sendiri.. gila deh gimana nasib asn yg pangkatnya masih rendah butuh pulang/pergi ke kota asalnya sdgkan tiket mahal sekali..gajinya cuma cukup buat hidup di kota orang, boro2 cukup buat ongkos pesawat.. 😈🙀🛩️",0,Kebutuhan masyarakat yg sejatinya hanyalah angan dan gak merata apa sih yg masyarakat butuhkan saat ini yg dikedepankan pride semata saja Lagi dan lagi yg diuntungkan kembali ke lingkaran elit parpol itu sendiri gila deh gimana nasib asn yg pangkatnya masih rendah butuh pulangpergi ke kota asalnya sdgkan tiket mahal sekaligajinya cuma cukup buat hidup di kota orang boro cukup buat ongkos pesawat
Sebagai warga kalimantan barat cuma bisa bilang: &quot;malas nak ngomong dah...&quot;,1,Sebagai warga kalimantan barat cuma bisa bilang quotmalas nak ngomong dahquot
Ambil aja sawitnya kalau yg punya pemerintah,1,Ambil aja sawitnya kalau yg punya pemerintah
pusing lah butuhkemajuan juga butuh alam..dan di dampingi keserkahan......kiamat semakin dekat...,0,pusing lah butuhkemajuan juga butuh alamdan di dampingi keserkahankiamat semakin dekat
"Manusia akan binasa, Karena keserakahannya sendiri",0,Manusia akan binasa Karena keserakahannya sendiri
Oligarki yang harus tanggung jawab di dunia dan akhirat nanti,0,Oligarki yang harus tanggung jawab di dunia dan akhirat nanti
Mayoritas pemilik lahan sawit dan perambahan hutan di Kalimantan di miliki dan di lakukan pejabat2 dan pengusaha dr luar Kalimantan....dgn embel2 hutan HGU dan CSR...,0,Mayoritas pemilik lahan sawit dan perambahan hutan di Kalimantan di miliki dan di lakukan pejabat dan pengusaha dr luar Kalimantandgn embel hutan HGU dan CSR
Masalah Ini yang tidak diberitakan oleh media-media pendukungnya. Media seharusnya netral. Namun kenyataannya media skrg juga ikut berpolitik. Menjadi alat untuk memberi image buruk lawan atau untuk menjatuhkan lawan. Tau lah siapa aja.,0,Masalah Ini yang tidak diberitakan oleh mediamedia pendukungnya Media seharusnya netral Namun kenyataannya media skrg juga ikut berpolitik Menjadi alat untuk memberi image buruk lawan atau untuk menjatuhkan lawan Tau lah siapa aja
Modus bikin ibukota. Pdhl mah nebangin pohon..,0,Modus bikin ibukota Pdhl mah nebangin pohon
"Sekalian nitip pesan min, di Singkawang sering terjadi pengerukan tanah, dulu ada gunung sekarang gunungnya dah habis di keruk, jadi bukan hanya pohon, tp sampai tanahnya pun diambil.<br><br>makanya beberapa waktu lalu di singkawang terjadi banjir besar, karena air yg dulu ditampung tanah di gunung tersebut dan pohon2 sekarang sudah botak/gundul",0,Sekalian nitip pesan min di Singkawang sering terjadi pengerukan tanah dulu ada gunung sekarang gunungnya dah habis di keruk jadi bukan hanya pohon tp sampai tanahnya pun diambilmakanya beberapa waktu lalu di singkawang terjadi banjir besar karena air yg dulu ditampung tanah di gunung tersebut dan pohon sekarang sudah botakgundul
"Bnyk pengusaha tambang kaya raya dari kalimantan , mngkin mrk itu yg pd ngeruk dan bikin longsor",0,Bnyk pengusaha tambang kaya raya dari kalimantan mngkin mrk itu yg pd ngeruk dan bikin longsor
"​@@Cranberriezsudah pasti bang, pengusaha kasi pelicin ke pejabat aparat.. Giliran rakyat protes, rakyat malah ditindas.. Banyak kasus seperti pak Salim kancil disini terjadi, pengusaha semakiiiiin kaya raya, rakyat yg miskin dibiarkan semakin miskin.. Kecemburuan sosial juga disana tinggi, ga heran sering juga ilmu hitam utk melancarkan aksi rakus mereka, ad tuh salah satu daerah tambang besar di Kendawangan, cari tau aj sendiri gimana kehidupan disana..",0,Cranberriezsudah pasti bang pengusaha kasi pelicin ke pejabat aparat Giliran rakyat protes rakyat malah ditindas Banyak kasus seperti pak Salim kancil disini terjadi pengusaha semakiiiiin kaya raya rakyat yg miskin dibiarkan semakin miskin Kecemburuan sosial juga disana tinggi ga heran sering juga ilmu hitam utk melancarkan aksi rakus mereka ad tuh salah satu daerah tambang besar di Kendawangan cari tau aj sendiri gimana kehidupan disana
Sabar ya sodaraku. Saya tinggal di pulau jawa. Saya turut prihatin. Di pulau jawa pun masih daerah2 dijadikan kawasan industri dan kota mandiri. Sedih pastinya nanti semua desa akan berubah jadi kota. Desa2 cantik hanya tinggal kenangan. Saya jadi ingin pindah negara,0,Sabar ya sodaraku Saya tinggal di pulau jawa Saya turut prihatin Di pulau jawa pun masih daerah dijadikan kawasan industri dan kota mandiri Sedih pastinya nanti semua desa akan berubah jadi kota Desa cantik hanya tinggal kenangan Saya jadi ingin pindah negara
"Paru2 dunia dibanggakan dan dijadikan alasan supaya Indonesia tidak boleh maju dan berkembang, pulau lain gimana khususnya P Jawa dan luar negeri gimana ?",1,Paru dunia dibanggakan dan dijadikan alasan supaya Indonesia tidak boleh maju dan berkembang pulau lain gimana khususnya P Jawa dan luar negeri gimana
"Di temapatku, kabupaten Sukamara, Kalimantan,. Kmarin terjadi bnjir hingga sebulanan... Awal tdk pernah bnjir separah ini... Sawit perusahaan terus meluas",0,Di temapatku kabupaten Sukamara Kalimantan Kmarin terjadi bnjir hingga sebulanan Awal tdk pernah bnjir separah ini Sawit perusahaan terus meluas
"Kalian dukung tuh program JOKOWI. . <br>Yang merusak bangsa ini. <br>Menghamburkan uang 600 T. <br>Disaat negara ktitis, .",0,Kalian dukung tuh program JOKOWI Yang merusak bangsa ini Menghamburkan uang T Disaat negara ktitis
Akankah tiba masanya di mana pohon pohon asli digantikan oleh pohon pohon “Sintetis”?,0,Akankah tiba masanya di mana pohon pohon asli digantikan oleh pohon pohon Sintetis
Yang penting untuk pembangunan Jawa dan supaya tidak ada mati lampu,0,Yang penting untuk pembangunan Jawa dan supaya tidak ada mati lampu
"Sekarang pulau papua nih yg jd korban berikutnya, selain tambang, sawit dah mulai menggeliat disana",0,Sekarang pulau papua nih yg jd korban berikutnya selain tambang sawit dah mulai menggeliat disana
"yuk bisa yuk, masih 70% sisanya. larang penebangan &amp; laksanakan reboisasi.",0,yuk bisa yuk masih sisanya larang penebangan amp laksanakan reboisasi
Pak kat dayak hutan Kalimantan menyusut ditunggu mandau terbangnya buat ngusir pembabat hutan,0,Pak kat dayak hutan Kalimantan menyusut ditunggu mandau terbangnya buat ngusir pembabat hutan
Cie cie yg senang kena banjir krn hutan nya habis hnya untuk cuan..,0,Cie cie yg senang kena banjir krn hutan nya habis hnya untuk cuan
Haji nya semakin sugih,1,Haji nya semakin sugih
"Meteri nya, konsep penyampaian bagusss bngtttt ❤",2,Meteri nya konsep penyampaian bagusss bngtttt
Kan presiden kita pengusaha kayuuu..,1,Kan presiden kita pengusaha kayuuu
"Memang media SJW. Saya harap wartawan dan karyawan dari Narasi tinggal di hutan, jangan di Jakarta, agar konsisten dengan beritanya.",1,Memang media SJW Saya harap wartawan dan karyawan dari Narasi tinggal di hutan jangan di Jakarta agar konsisten dengan beritanya
"The end of the world can be stop now.. at this moment, yes.",1,The end of the world can be stop now at this moment yes
"Yang komen cinta alam tapi masih buang sampah plastik sembarangan, mana suaranya.",1,Yang komen cinta alam tapi masih buang sampah plastik sembarangan mana suaranya
Cuma kamu.yg lain ngk ada.wkwk,1,Cuma kamuyg lain ngk adawkwk
@@marsmello8670 ahaha...,1,marsmello ahaha
"semoga para pemangku kebijakan tersadar semua, jangan hanya aktif menjelang pemilihan saja tapi harus aktif juga tentang isu lingkungan hidup kita.....haturnuhun narasi crew",1,semoga para pemangku kebijakan tersadar semua jangan hanya aktif menjelang pemilihan saja tapi harus aktif juga tentang isu lingkungan hidup kitahaturnuhun narasi crew
"Cukup jakarta saja yg hancur dan tenggelam sebagai ibukota, semoga kalimantan sebagai paru paru dunia masih memegang dan mejaga alamnya",0,Cukup jakarta saja yg hancur dan tenggelam sebagai ibukota semoga kalimantan sebagai paru paru dunia masih memegang dan mejaga alamnya
Apakah Jokowi melihat video ini?,1,Apakah Jokowi melihat video ini
"Ini narasi kadrun apa gimana? jangan salah drun mau sebanyak apapun hutan ditebang tidak peduli yang penting pembangunan ikn berjalan lancar, kalau ikn jadi kan kalian juga yang menikmatinya bahkan pekerja asing pun juga bisa menikmatinya, ini semua sesuai dengan apa yang direncanakan pakde",0,Ini narasi kadrun apa gimana jangan salah drun mau sebanyak apapun hutan ditebang tidak peduli yang penting pembangunan ikn berjalan lancar kalau ikn jadi kan kalian juga yang menikmatinya bahkan pekerja asing pun juga bisa menikmatinya ini semua sesuai dengan apa yang direncanakan pakde
Ada negara meju yang punya hutan lebat.,1,Ada negara meju yang punya hutan lebat
Panglima kalimantan mohon kebijakannya ini. Berdampak sekali bagi saudara di Kalimantan,0,Panglima kalimantan mohon kebijakannya ini Berdampak sekali bagi saudara di Kalimantan
"<a href=""https://www.youtube.com/watch?v=qlB7vg4I-To"">https://youtu.be/qlB7vg4I-To</a><br><br>Itu film documenter keren, expedisi indonesia biru, tambang kalimantan dan pejabat negara yg jd pemilik nya",0,httpsyoutubeqlBvgIToItu film documenter keren expedisi indonesia biru tambang kalimantan dan pejabat negara yg jd pemilik nya
"Setiap pembangunan psti selalu ada dampak jeleknya, sederhananya macam bangun perumahan, yg tdinya sawah",2,Setiap pembangunan psti selalu ada dampak jeleknya sederhananya macam bangun perumahan yg tdinya sawah
Ya tapi jangan ugal2an dong. Tetap memperhatikan alam,0,Ya tapi jangan ugalan dong Tetap memperhatikan alam
"Gw kerja di PT Kayu legal logging lokasi di gunungmas kalteng memang setiap hari siang-malam, pohon besar ditumbang setiap harinya selama puluhan tahun baik oleh PT maupun warga sekitar gila-gilaan menebang pohon",0,Gw kerja di PT Kayu legal logging lokasi di gunungmas kalteng memang setiap hari siangmalam pohon besar ditumbang setiap harinya selama puluhan tahun baik oleh PT maupun warga sekitar gilagilaan menebang pohon
"Pertanyaannya sekarang orang yang buat rumah kaca dan sibuk membuat asap pabrik terus, gak ada kompensasi ke Kalimantan sedangkan orang kita yang sibuk menjaga hutan mereka sibuk mencemari alam? KOCAK. APA UNTUNGNYA SEMUA ITU!!!!!",0,Pertanyaannya sekarang orang yang buat rumah kaca dan sibuk membuat asap pabrik terus gak ada kompensasi ke Kalimantan sedangkan orang kita yang sibuk menjaga hutan mereka sibuk mencemari alam KOCAK APA UNTUNGNYA SEMUA ITU
"Saya asli orang jogja,,merantau di kalimantan sejak tahun 2005.. aduh saya sekarang benar2 menangis yg dulu kalimantan yg begitu perkasa dengan pohon pohon yg begitu besar hutan yg begitu luas..gara gara tambang dan sawit kalimantan jadi hancur..satwa satwa liar menjadi hilang..",0,Saya asli orang jogjamerantau di kalimantan sejak tahun aduh saya sekarang benar menangis yg dulu kalimantan yg begitu perkasa dengan pohon pohon yg begitu besar hutan yg begitu luasgara gara tambang dan sawit kalimantan jadi hancursatwa satwa liar menjadi hilang
"Ijin tanya bang, usaha tambang dan sawit ini pemilik sebagai pelaku nya itu orang asli kalimantan, orang di luar kalimantan, atau dari kalangan pemerintah?",0,Ijin tanya bang usaha tambang dan sawit ini pemilik sebagai pelaku nya itu orang asli kalimantan orang di luar kalimantan atau dari kalangan pemerintah
"​@@warior1195 kalo sawit sih bang yg sya dengar dari beberapa orang yg kerja, banyaknya milik pejabat2, mantan bupati, mantan walikota, mantan gubernur. Rakyat biasa juga punya tapi kalah luas.<br>Kalo dr luar wilayah saya kurang tau.",0,warior kalo sawit sih bang yg sya dengar dari beberapa orang yg kerja banyaknya milik pejabat mantan bupati mantan walikota mantan gubernur Rakyat biasa juga punya tapi kalah luasKalo dr luar wilayah saya kurang tau
"Monggo di coba dulu telen 10juta dolar per minggu, baru bicara satwa liar dan kebun hijau ya",0,Monggo di coba dulu telen juta dolar per minggu baru bicara satwa liar dan kebun hijau ya
"@@Rodenthood KAU TELEN 10JT ATAU PUN LEBIH DRI ITU,HIDUP SESEORANG BERAPA LAMA DAN MAKAN KENYANG SEBERAPA ? TOH ALAM RUSAK MANUSIA JGA AKAN MUSNAH",0,Rodenthood KAU TELEN JT ATAU PUN LEBIH DRI ITUHIDUP SESEORANG BERAPA LAMA DAN MAKAN KENYANG SEBERAPA TOH ALAM RUSAK MANUSIA JGA AKAN MUSNAH
